Source,Target,Weight
0,302,6
1,30,4
3,233,2
4,91,2
4,168,2
5,30,6
6,178,6
8,20,2
9,53,2
11,85,2
12,20,2
12,238,18
14,198,2
16,220,4
19,150,4
20,35,2
21,30,2
22,214,2
22,172,2
25,137,4
27,173,28
28,20,2
30,83,82
30,270,2
30,4,6
30,78,4
30,144,42
30,224,4
30,227,6
30,72,2
30,233,2
30,146,6
30,75,4
30,127,8
30,70,6
30,303,2
30,135,4
30,91,2
30,255,2
30,18,2
30,35,66
30,243,32
30,159,6
30,46,4
30,28,4
30,134,10
30,125,12
30,40,4
30,201,2
30,297,10
30,168,18
30,208,10
30,232,2
30,150,10
30,295,2
30,69,6
30,147,2
30,182,2
30,86,24
30,278,4
30,119,4
30,131,24
30,180,2
30,17,4
30,137,6
30,189,2
30,100,6
30,114,26
30,272,12
30,214,22
30,216,2
30,58,6
30,29,34
30,199,2
30,197,2
30,87,2
30,20,12
30,118,10
30,186,4
30,85,2
30,218,2
30,145,2
30,220,6
30,281,12
30,141,2
30,206,4
30,7,10
30,178,8
30,200,4
30,109,22
30,173,22
30,167,2
30,110,6
30,54,4
30,298,2
30,133,6
30,305,16
30,161,2
30,53,40
30,61,8
30,261,4
30,268,4
30,209,4
30,192,12
30,228,10
30,94,8
30,129,6
30,291,2
30,26,2
30,230,4
30,292,2
30,249,8
30,177,10
30,34,4
30,254,20
30,202,4
30,196,8
30,77,16
30,241,4
30,185,4
30,222,6
30,163,14
30,265,10
32,217,2
35,30,2
41,182,2
42,295,2
43,85,4
44,216,4
45,217,2
47,95,2
48,63,2
49,137,2
51,228,2
52,109,2
55,297,2
55,20,8
57,173,2
57,104,6
59,202,10
62,146,2
63,255,10
64,58,4
65,4,8
65,156,4
65,168,4
66,164,2
68,253,2
68,126,2
69,173,4
69,202,6
73,30,2
74,187,2
76,45,4
79,212,2
79,302,2
80,137,2
81,281,2
82,24,2
83,15,2
83,30,190
83,89,4
83,37,2
83,276,24
83,270,42
83,289,2
83,4,46
83,179,2
83,301,6
83,78,26
83,144,22
83,235,4
83,224,6
83,96,14
83,227,14
83,266,6
83,139,6
83,72,12
83,233,14
83,187,8
83,117,2
83,90,14
83,124,2
83,13,2
83,166,2
83,95,2
83,246,4
83,146,4
83,75,8
83,127,16
83,211,4
83,70,30
83,303,8
83,24,8
83,191,6
83,135,2
83,91,2
83,255,40
83,36,2
83,18,6
83,256,2
83,63,4
83,262,22
83,226,2
83,198,28
83,35,6
83,243,50
83,113,4
83,159,22
83,23,2
83,162,2
83,31,6
83,46,12
83,28,16
83,273,4
83,102,18
83,267,2
83,293,4
83,134,2
83,193,8
83,39,28
83,108,8
83,156,14
83,165,12
83,125,26
83,304,2
83,269,4
83,138,16
83,68,22
83,229,2
83,6,10
83,274,4
83,55,18
83,40,2
83,253,4
83,168,16
83,208,2
83,287,2
83,299,2
83,294,4
83,150,78
83,97,2
83,295,4
83,69,4
83,147,12
83,182,4
83,278,6
83,50,2
83,119,2
83,131,8
83,137,30
83,213,6
83,189,6
83,100,2
83,114,20
83,272,18
83,214,24
83,216,4
83,58,56
83,29,40
83,199,14
83,197,12
83,71,4
83,236,18
83,33,4
83,126,4
83,60,6
83,251,10
83,20,42
83,76,10
83,238,48
83,300,2
83,118,72
83,79,2
83,45,6
83,217,16
83,212,16
83,186,2
83,103,10
83,2,4
83,59,2
83,205,2
83,188,10
83,67,18
83,10,8
83,27,6
83,85,22
83,218,16
83,121,2
83,12,4
83,145,4
83,252,16
83,164,8
83,120,10
83,234,2
83,142,2
83,220,10
83,160,18
83,132,4
83,281,2
83,22,18
83,237,16
83,141,10
83,206,16
83,7,2
83,302,12
83,178,22
83,200,4
83,259,6
83,122,16
83,173,70
83,167,16
83,172,4
83,54,6
83,298,4
83,133,2
83,305,2
83,56,10
83,53,12
83,128,2
83,286,4
83,149,2
83,61,8
83,261,2
83,215,22
83,38,10
83,268,14
83,209,16
83,192,2
83,228,8
83,104,10
83,116,10
83,94,14
83,26,8
83,57,4
83,230,2
83,249,2
83,177,8
83,34,2
83,254,14
83,202,28
83,196,6
83,77,6
84,235,2
88,220,4
91,303,2
92,281,2
93,30,2
97,297,6
97,182,2
98,91,2
99,30,38
101,53,2
105,228,2
106,295,2
107,53,4
111,30,2
112,35,2
114,70,2
114,120,2
114,122,2
115,227,2
123,127,2
127,70,2
130,53,6
136,83,4
140,150,2
143,97,2
148,178,4
149,53,10
150,137,12
150,56,2
150,61,2
151,31,2
152,220,4
153,217,4
154,215,4
154,38,4
155,137,2
157,230,2
158,77,4
159,150,2
159,118,12
164,68,2
167,228,2
169,208,2
170,165,6
171,166,2
174,295,2
175,53,2
176,30,2
181,4,2
181,96,2
181,139,2
181,72,6
181,233,4
181,187,2
181,13,2
183,233,2
184,30,12
188,68,4
190,118,2
194,305,4
194,56,2
194,53,12
195,53,2
197,212,2
197,85,6
203,209,2
204,55,4
206,167,2
207,83,6
209,254,2
210,53,2
215,61,4
217,118,2
218,29,14
218,38,2
219,20,34
219,202,4
221,164,2
223,173,4
225,17,2
225,20,2
231,78,4
239,30,4
240,37,2
240,78,18
242,85,4
244,178,2
245,53,10
246,166,2
247,227,2
247,164,2
248,78,2
250,243,6
253,173,2
255,30,12
255,262,2
256,70,6
257,55,2
258,156,4
260,227,2
263,97,2
264,217,4
267,134,4
268,104,2
271,30,6
272,217,2
273,24,4
275,233,2
277,144,30
279,30,8
280,121,2
282,94,2
283,298,2
284,58,4
285,298,4
288,238,6
290,305,2
294,77,2
296,56,2
301,78,4
