Source,Target,Weight
0,301,6
1,29,4
3,232,2
4,90,2
4,167,2
5,29,6
6,177,6
8,19,2
9,52,2
11,84,2
12,19,2
12,237,18
14,197,2
15,219,4
18,149,4
19,34,2
20,29,2
21,213,2
21,171,2
24,136,4
26,172,28
27,19,2
29,269,2
29,4,6
29,82,82
29,77,4
29,143,42
29,223,4
29,226,6
29,71,2
29,232,2
29,145,6
29,74,4
29,126,8
29,69,6
29,302,2
29,134,4
29,90,2
29,254,2
29,17,2
29,34,66
29,242,32
29,158,6
29,45,4
29,27,4
29,133,10
29,124,12
29,39,4
29,200,2
29,296,10
29,167,18
29,207,10
29,231,2
29,149,10
29,294,2
29,68,6
29,146,2
29,181,2
29,85,24
29,277,4
29,118,4
29,130,24
29,179,2
29,16,4
29,136,6
29,188,2
29,99,6
29,113,26
29,271,12
29,213,22
29,215,2
29,57,6
29,28,34
29,198,2
29,196,2
29,86,2
29,19,12
29,117,10
29,185,4
29,84,2
29,217,2
29,144,2
29,219,6
29,280,12
29,140,2
29,205,4
29,7,10
29,177,8
29,199,4
29,108,22
29,172,22
29,166,2
29,109,6
29,53,4
29,297,2
29,132,6
29,304,16
29,160,2
29,52,40
29,60,8
29,260,4
29,267,4
29,208,4
29,191,12
29,227,10
29,93,8
29,128,6
29,290,2
29,25,2
29,229,4
29,291,2
29,248,8
29,176,10
29,33,4
29,253,20
29,201,4
29,195,8
29,76,16
29,240,4
29,184,4
29,221,6
29,162,14
29,264,10
31,216,2
34,29,2
40,181,2
41,294,2
42,84,4
43,215,4
44,216,2
46,94,2
47,62,2
48,136,2
50,227,2
51,108,2
54,296,2
54,19,8
56,172,2
56,103,6
58,201,10
61,145,2
62,254,10
63,57,4
64,4,8
64,155,4
64,167,4
65,163,2
67,252,2
67,125,2
68,172,4
68,201,6
72,29,2
73,186,2
75,44,4
78,211,2
78,301,2
79,136,2
80,280,2
81,23,2
82,88,2
82,29,190
82,36,2
82,275,24
82,269,42
82,288,2
82,4,46
82,178,2
82,300,6
82,77,26
82,143,22
82,234,4
82,223,6
82,95,10
82,226,14
82,265,6
82,138,6
82,71,12
82,232,14
82,186,8
82,116,2
82,89,14
82,123,2
82,13,2
82,165,2
82,94,2
82,245,4
82,145,4
82,74,8
82,126,16
82,210,4
82,69,30
82,302,8
82,23,8
82,190,6
82,134,2
82,90,2
82,254,40
82,35,2
82,17,6
82,255,2
82,62,4
82,261,22
82,225,2
82,197,28
82,34,6
82,242,50
82,112,4
82,158,22
82,22,2
82,161,2
82,30,6
82,45,12
82,27,16
82,272,4
82,101,18
82,266,2
82,292,4
82,133,2
82,192,8
82,38,28
82,107,8
82,155,14
82,164,12
82,124,26
82,303,2
82,268,4
82,137,16
82,67,22
82,228,2
82,6,10
82,273,4
82,54,18
82,39,2
82,252,4
82,167,16
82,207,2
82,286,2
82,298,2
82,293,4
82,149,78
82,96,2
82,294,4
82,68,4
82,146,12
82,181,4
82,277,6
82,49,2
82,118,2
82,130,8
82,136,30
82,212,6
82,188,6
82,99,2
82,113,20
82,271,18
82,213,24
82,215,4
82,57,56
82,28,40
82,198,14
82,196,12
82,70,4
82,235,18
82,32,4
82,125,4
82,59,6
82,250,10
82,19,42
82,75,10
82,237,48
82,299,2
82,117,72
82,78,2
82,44,6
82,216,16
82,211,16
82,185,2
82,102,10
82,2,4
82,58,2
82,204,2
82,187,10
82,66,18
82,10,8
82,26,6
82,84,22
82,217,16
82,120,2
82,12,4
82,144,4
82,251,16
82,163,8
82,119,10
82,233,2
82,141,2
82,219,10
82,159,18
82,131,4
82,280,2
82,21,18
82,236,16
82,140,10
82,205,16
82,7,2
82,301,12
82,177,22
82,199,4
82,258,6
82,121,16
82,172,70
82,166,16
82,171,4
82,53,6
82,297,4
82,132,2
82,304,2
82,55,10
82,52,12
82,127,2
82,285,4
82,148,2
82,60,8
82,260,2
82,214,22
82,37,10
82,267,14
82,208,16
82,191,2
82,227,8
82,103,10
82,115,10
82,93,14
82,25,8
82,56,4
82,229,2
82,248,2
82,176,8
82,33,2
82,253,14
82,201,28
82,195,6
82,76,6
83,234,2
87,219,4
90,302,2
91,280,2
92,29,2
96,296,6
96,181,2
97,90,2
98,29,38
100,52,2
104,227,2
105,294,2
106,52,4
110,29,2
111,34,2
113,69,2
113,119,2
113,121,2
114,226,2
122,126,2
126,69,2
129,52,6
135,82,4
139,149,2
142,96,2
147,177,4
148,52,10
149,136,12
149,55,2
149,60,2
150,30,2
151,219,4
152,216,4
153,214,4
153,37,4
154,136,2
156,229,2
157,76,4
158,149,2
158,117,12
163,67,2
166,227,2
168,207,2
169,164,6
170,165,2
173,294,2
174,52,2
175,29,2
180,138,2
180,71,4
180,232,2
180,186,2
180,13,2
182,232,2
183,29,12
187,67,4
189,117,2
193,304,4
193,55,2
193,52,12
194,52,2
196,211,2
196,84,6
202,208,2
203,54,4
205,166,2
206,82,6
208,253,2
209,52,2
214,60,4
216,117,2
217,28,14
217,37,2
218,19,34
218,201,4
220,163,2
222,172,4
224,16,2
224,19,2
230,77,4
238,29,4
239,36,2
239,77,18
241,84,4
243,177,2
244,52,10
245,165,2
246,226,2
246,163,2
247,77,2
249,242,6
252,172,2
254,29,12
254,261,2
255,69,6
256,54,2
257,155,4
259,226,2
262,96,2
263,216,4
266,133,4
267,103,2
270,29,6
271,216,2
272,23,4
274,232,2
276,143,30
278,29,8
279,120,2
281,93,2
282,297,2
283,57,4
284,297,4
287,237,6
289,304,2
293,76,2
295,55,2
300,77,4
