# Source Target Weight
2 319 6
3 33 4
5 246 2
6 96 2
6 175 2
7 33 6
8 187 6
10 22 2
11 57 2
13 89 2
14 22 2
14 253 18
16 209 2
18 233 4
21 157 4
22 39 2
24 33 2
25 227 2
25 180 2
28 143 4
30 182 28
31 22 2
33 287 2
33 6 6
33 87 418
33 82 4
33 151 42
33 237 4
33 240 6
33 76 2
33 246 2
33 153 12
33 79 4
33 133 11
33 74 6
33 320 2
33 141 4
33 96 5
33 272 2
33 20 5
33 39 66
33 258 32
33 166 6
33 50 4
33 31 4
33 140 10
33 131 12
33 44 4
33 213 5
33 314 10
33 175 18
33 220 10
33 245 5
33 157 13
33 312 2
33 73 6
33 154 2
33 191 2
33 91 33
33 295 4
33 125 4
33 137 27
33 189 5
33 19 7
33 143 6
33 200 2
33 105 6
33 120 29
33 289 12
33 227 22
33 229 2
33 62 6
33 32 37
33 211 5
33 208 2
33 92 5
33 22 12
33 124 13
33 196 7
33 89 2
33 231 2
33 152 5
33 233 9
33 298 15
33 148 2
33 218 4
33 9 13
33 187 11
33 212 7
33 115 36
33 182 22
33 174 2
33 116 17
33 58 7
33 315 5
33 139 9
33 322 19
33 168 2
33 57 43
33 65 8
33 278 4
33 285 4
33 221 4
33 203 15
33 241 10
33 99 8
33 135 9
33 308 5
33 29 5
33 243 7
33 309 5
33 266 11
33 186 13
33 38 4
33 271 20
33 214 4
33 207 11
33 81 19
33 256 4
33 195 7
33 235 15
33 170 17
33 282 13
33 248 6
33 317 11
33 260 6
33 179 6
33 147 5
33 17 11
33 263 11
36 230 2
39 33 2
45 191 2
46 312 2
47 89 4
48 229 4
49 230 2
51 100 2
52 67 2
53 143 2
55 241 2
56 115 2
59 314 2
59 22 8
61 182 2
61 109 6
63 214 10
66 153 2
67 272 10
68 62 4
69 6 8
69 163 4
69 175 4
70 171 2
72 270 2
72 132 2
73 182 4
73 214 6
77 33 2
78 197 2
80 49 4
83 225 2
83 319 2
84 143 2
85 298 2
86 27 2
87 94 5
87 33 519
87 41 2
87 293 24
87 287 45
87 306 5
87 6 61
87 188 5
87 318 6
87 82 26
87 151 22
87 249 4
87 237 9
87 101 10
87 240 17
87 283 9
87 145 9
87 76 18
87 246 14
87 197 11
87 123 5
87 95 17
87 130 2
87 15 5
87 173 5
87 100 5
87 262 7
87 153 4
87 79 11
87 133 28
87 223 7
87 74 42
87 320 14
87 27 14
87 202 9
87 141 5
87 96 5
87 272 49
87 40 2
87 20 6
87 273 5
87 67 7
87 279 28
87 239 2
87 209 37
87 39 12
87 258 53
87 119 4
87 166 28
87 26 2
87 169 2
87 34 9
87 50 18
87 31 22
87 290 7
87 107 21
87 284 5
87 310 7
87 140 2
87 204 11
87 43 31
87 114 11
87 163 14
87 172 15
87 131 29
87 321 5
87 286 7
87 144 19
87 72 28
87 242 5
87 8 22
87 291 7
87 59 27
87 44 11
87 270 7
87 175 22
87 220 5
87 304 5
87 316 5
87 311 7
87 157 87
87 102 5
87 312 7
87 73 7
87 154 12
87 191 7
87 295 9
87 54 2
87 125 5
87 137 8
87 143 33
87 226 9
87 200 9
87 105 2
87 120 26
87 289 24
87 227 30
87 229 4
87 62 62
87 32 43
87 211 14
87 208 15
87 75 4
87 251 21
87 37 4
87 132 7
87 64 9
87 268 13
87 22 48
87 80 13
87 253 57
87 317 2
87 124 78
87 83 5
87 49 9
87 230 19
87 225 19
87 196 2
87 108 13
87 4 4
87 63 5
87 217 5
87 198 13
87 71 21
87 12 11
87 30 9
87 89 25
87 231 22
87 127 5
87 14 7
87 152 4
87 269 19
87 171 11
87 126 13
87 247 5
87 149 5
87 233 10
87 167 24
87 138 7
87 298 2
87 25 24
87 252 19
87 148 13
87 218 16
87 9 2
87 319 15
87 187 25
87 212 4
87 276 9
87 128 16
87 182 73
87 174 19
87 180 4
87 58 6
87 315 4
87 139 2
87 322 2
87 60 13
87 57 12
87 134 2
87 303 4
87 156 5
87 65 11
87 278 2
87 228 25
87 42 10
87 285 23
87 221 25
87 203 2
87 241 11
87 109 13
87 122 13
87 99 17
87 29 8
87 61 4
87 243 2
87 266 2
87 186 8
87 38 2
87 271 17
87 214 31
87 207 6
87 81 6
87 1 6
87 199 3
87 314 3
87 193 3
87 224 3
87 0 3
87 23 5
87 35 6
87 250 6
87 210 6
87 90 6
87 112 6
87 115 6
87 181 6
87 147 6
88 249 2
93 233 4
96 320 2
97 298 2
98 33 2
102 314 6
102 191 2
103 96 2
104 33 38
106 57 2
110 241 2
111 312 2
113 57 4
117 33 2
118 39 2
120 74 2
120 126 2
120 128 2
121 240 2
129 133 2
133 74 2
136 57 6
142 87 4
146 157 2
150 102 2
155 187 4
156 57 10
157 143 12
157 60 2
157 65 2
158 34 2
159 233 4
160 230 4
161 228 4
161 42 4
162 143 2
164 243 2
165 81 4
166 157 2
166 124 12
171 72 2
174 241 2
176 220 2
177 172 6
178 173 2
183 312 2
184 57 2
185 33 2
190 145 2
190 76 4
190 246 2
190 197 2
190 15 2
192 246 2
194 33 12
198 72 4
201 124 2
205 322 4
205 60 2
205 57 12
206 57 2
208 225 2
208 89 6
215 221 2
216 59 4
218 174 2
219 87 6
221 271 2
222 57 2
228 65 4
230 124 2
231 32 14
231 42 2
232 22 34
232 214 4
234 171 2
236 182 4
238 19 2
238 22 2
244 82 4
254 33 4
255 41 2
255 82 18
257 89 4
259 187 2
261 57 10
262 173 2
264 240 2
264 171 2
265 82 2
267 258 6
270 182 2
272 33 12
272 279 2
273 74 6
274 59 2
275 163 4
277 240 2
280 102 2
281 230 4
284 140 4
285 109 2
288 33 6
289 230 2
290 27 4
292 246 2
294 151 30
296 33 8
297 127 2
299 99 2
300 315 2
301 62 4
302 315 4
305 253 6
307 322 2
311 81 2
313 60 2
318 82 4
